0 14,4999
0,968 14,486
1,9 14,4583
2,862 14,4323
3,848 14,4111
4,853 14,3749
5,848 14,3294
6,849 14,3044
7,848 14,2759
8,849 14,2427
9,849 14,2031
10,848 14,1665
11,848 14,1403
12,849 14,1139
13,849 14,0728
14,848 14,0479
15,848 14,0138
16,849 13,9728
17,849 13,9467
18,849 13,908
19,848 13,8775
20,849 13,8563
21,849 13,8166
22,848 13,7939
23,848 13,7666
24,849 13,7358
25,849 13,7005
26,848 13,6814
27,848 13,6448
28,849 13,619
29,848 13,5929
30,849 13,5577
31,848 13,5227
32,848 13,4768
33,849 13,4615
34,848 13,4247
35,848 13,4058
36,849 13,385
37,849 13,3503
38,849 13,3151
39,849 13,2902
40,848 13,2425
41,849 13,2124
42,848 13,1868
43,848 13,1617
44,849 13,1332
45,848 13,1046
46,849 13,0802
47,849 13,0585
48,848 13,0269
49,849 13,0004
50,849 12,9664
51,848 12,9402
52,853 12,9183
53,848 12,8875
54,849 12,8531
55,849 12,8263
56,848 12,7861
57,848 12,757
58,853 12,7317
59,848 12,7098
60,848 12,6997
61,849 12,6672
62,849 12,6393
63,849 12,6135
64,848 12,5758
65,848 12,5499
66,849 12,513
67,849 12,4989
68,849 12,4725
69,849 12,4523
70,853 12,4174
71,849 12,3946
72,849 12,364
73,848 12,3374
74,848 12,3078
75,849 12,277
76,849 12,2386
77,848 12,2247
78,849 12,2
79,849 12,1719
80,848 12,1518
81,849 12,1245
82,853 12,0964
83,849 12,0723
84,849 12,0416
85,848 12,0164
86,848 11,998
87,848 11,9714
88,848 11,948
89,849 11,922
90,848 11,8923
91,849 11,8751
92,848 11,8545
93,849 11,8249
94,853 11,8052
95,848 11,7942
96,849 11,7625
97,85 11,745
98,849 11,7023
99,848 11,6957
100,849 11,6746
101,848 11,65
102,849 11,6335
103,848 11,61
104,849 11,5775
105,849 11,557
106,848 11,5358
107,849 11,5084
108,848 11,4813
109,848 11,4611
110,848 11,4474
111,848 11,4255
112,854 11,3938
113,848 11,3718
114,848 11,3421
115,849 11,3165
116,848 11,3005
117,848 11,2729
118,849 11,2457
119,849 11,222
120,849 11,1862
121,848 11,1693
122,848 11,1436
123,849 11,1271
124,848 11,1088
125,848 11,0857
126,848 11,0669
127,848 11,0313
128,849 10,9963
129,849 10,9889
130,848 10,9733
131,849 10,9452
132,849 10,9256
133,849 10,9078
134,848 10,8804
135,849 10,8601
136,854 10,8369
137,848 10,815
138,849 10,7867
139,849 10,7705
140,848 10,7519
141,849 10,723
142,848 10,7056
143,849 10,6946
144,848 10,6757
145,849 10,6467
146,848 10,6273
147,848 10,6045
148,852 10,5878
149,847 10,5751
150,848 10,5527
151,847 10,5288
152,848 10,5146
153,847 10,4864
154,852 10,4651
155,847 10,4434
156,848 10,4216
157,847 10,3968
158,848 10,3764
159,847 10,355
160,848 10,341
161,848 10,3175
162,847 10,2972
163,848 10,2945
164,847 10,2626
165,847 10,2421
166,848 10,2249
167,848 10,2074
168,848 10,1822
169,847 10,171
170,847 10,1472
171,848 10,1355
172,847 10,1085
173,847 10,0912
174,848 10,0638
175,847 10,0532
176,848 10,0335
177,848 10,0086
178,849 9,9847
179,848 9,972
180,848 9,9608
181,848 9,9426
182,849 9,9248
183,849 9,8968
184,854 9,878
185,848 9,8609
186,848 9,8489
187,849 9,8306
188,849 9,8172
189,849 9,7949
190,849 9,7766
191,848 9,7513
192,848 9,7292
193,849 9,7084
194,848 9,689
195,849 9,6692
196,848 9,6622
197,849 9,6281
198,848 9,6123
199,848 9,5855
200,849 9,5752
201,849 9,5516
202,848 9,5292
203,849 9,5201
204,848 9,5007
205,848 9,488
206,849 9,4674
207,848 9,436
208,848 9,4228
209,849 9,4117
210,848 9,3694
211,849 9,3582
212,848 9,3426
213,848 9,322
214,849 9,2964
215,849 9,2985
216,848 9,2848
217,851 9,2701
218,849 9,2449
219,849 9,2351
220,854 9,2039
221,848 9,1888
222,849 9,1689
223,848 9,1607
224,849 9,1421
225,848 9,1173
226,848 9,1102
227,849 9,0951
228,848 9,07
229,848 9,0636
230,849 9,0389
231,848 9,0192
232,854 9,0086
233,848 8,9833
234,848 8,9654
235,849 8,9439
236,849 8,9224
237,849 8,9004
238,849 8,8851
239,849 8,8764
240,849 8,8606
241,848 8,8488
242,849 8,8236
243,848 8,8014
244,849 8,7853
245,848 8,7717
246,849 8,7512
247,848 8,7362
248,849 8,7081
249,848 8,6957
250,853 8,6738
251,848 8,6716
252,849 8,6456
253,848 8,6243
254,849 8,6029
255,848 8,5969
256,854 8,5589
257,848 8,5457
258,849 8,5305
259,848 8,5275
260,849 8,5028
261,848 8,4841
262,848 8,4766
263,849 8,4608
264,849 8,4419
265,848 8,4123
266,849 8,3975
267,848 8,3842
268,848 8,3794
269,849 8,3665
270,849 8,3547
271,848 8,3313
272,848 8,324
273,849 8,3142
274,848 8,3
275,849 8,2832
276,848 8,2634
277,849 8,2445
278,849 8,2238
279,848 8,2169
280,848 8,1991
281,849 8,1833
282,848 8,1653
283,849 8,1518
284,849 8,1397
285,848 8,1319
286,849 8,1027
287,849 8,0871
288,848 8,0796
289,848 8,0622
290,849 8,0401
291,848 8,0265
292,849 8,0094
293,848 7,997
294,849 7,9818
